Order ID,OrderMonth,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
CA-2014-AB10015140-41954,11,11/11/2014,13/11/2014,First Class,AB-100151402,Consumer,Oklahoma City,Oklahoma,United States,Central US,USCA,TEC-PH-5816,Technology,Phones,Samsung Convoy 3,221.98,2,0,62.15,40.77,High
CA-2014-AB10015140-41954,11,11/11/2014,13/11/2014,First Class,AB-100151402,Consumer,Oklahoma City,Oklahoma,United States,Central US,USCA,FUR-BO-5957,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",341.96,2,0,54.71,25.27,High
CA-2012-AB10015140-40974,3,06/03/2012,07/03/2012,First Class,AB-100151404,Consumer,Seattle,Washington,United States,Western US,USCA,FUR-CH-4421,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",48.71,1,0.2,5.48,11.13,High
CA-2012-AB10015140-40974,3,06/03/2012,07/03/2012,First Class,AB-100151404,Consumer,Seattle,Washington,United States,Western US,USCA,OFF-AR-5309,Office Supplies,Art,Newell 330,17.94,3,0,4.66,4.29,High
CA-2012-AB10015140-40958,2,19/02/2012,25/02/2012,Standard Class,AB-100151402,Consumer,Arlington,Texas,United States,Central US,USCA,OFF-ST-3078,Office Supplies,Storage,Akro Stacking Bins,12.62,2,0.2,-2.52,1.97,Low
CA-2012-AB10015140-40974,3,06/03/2012,07/03/2012,First Class,AB-100151404,Consumer,Seattle,Washington,United States,Western US,USCA,OFF-ST-3744,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",242.94,3,0,4.86,1.28,High
ID-2013-AB1001527-41439,6,14/06/2013,17/06/2013,First Class,AB-1001527,Consumer,Wuhan,Hubei,China,Eastern Asia,Asia Pacific,TEC-MA-6150,Technology,Machines,"StarTech Printer, Wireless",1024.68,8,0.5,-286.92,487.32,Critical
IN-2014-AB100157-41815,6,25/06/2014,29/06/2014,Standard Class,AB-100157,Consumer,Mackay,Queensland,Australia,Oceania,Asia Pacific,FUR-CH-4654,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",2046.2,5,0.1,591.05,432.15,High
ES-2014-AB1001545-41930,10,18/10/2014,20/10/2014,Second Class,AB-1001545,Consumer,Marseille,Provence-Alpes-Côte d'Azur,France,Western Europe,Europe,TEC-CO-4785,Technology,Copiers,"HP Personal Copier, Digital",632.04,6,0.15,7.26,216.8,Critical
IN-2014-AB100157-41941,10,29/10/2014,31/10/2014,First Class,AB-100157,Consumer,Melbourne,Victoria,Australia,Oceania,Asia Pacific,FUR-BO-3640,Furniture,Bookcases,"Bush Library with Doors, Mobile",660.31,2,0.1,242.11,123.82,Medium
ES-2015-AB1001564-42117,4,23/04/2015,28/04/2015,Standard Class,AB-1001564,Consumer,Casoria,Campania,Italy,Southern Europe,Europe,TEC-CO-3591,Technology,Copiers,"Brother Fax and Copier, Color",1543.44,8,0,370.32,110.96,Medium
ES-2015-AB1001545-42047,2,12/02/2015,16/02/2015,Standard Class,AB-1001545,Consumer,Vincennes,Ile-de-France,France,Western Europe,Europe,TEC-CO-6009,Technology,Copiers,"Sharp Wireless Fax, Color",1822.54,6,0.15,385.78,110.48,Medium
IN-2014-AB1001558-41838,7,18/07/2014,22/07/2014,Standard Class,AB-1001558,Consumer,Hyderabad,Telangana,India,Southern Asia,Asia Pacific,OFF-ST-5692,Office Supplies,Storage,"Rogers File Cart, Industrial",566.4,4,0,135.84,88.98,High
