serialno,weight,cut,color,clarity,mine,price,depth,table,x,y,z
AA449586,0.31,Ideal,H,VVS2,EAST,802,62.2,55,4.36,4.35,2.71
AA395251,0.31,Ideal,E,VS2,WEST,627,61.7,57,4.35,4.37,2.69
AA372873,0.53,Ideal,D,IF,NORTH,3517,61.5,54,5.27,5.21,3.22
AA985675,0.39,Ideal,D,VS1,EAST,1095,61.9,57,4.69,4.71,2.91
AA701820,1.5,Very Good,D,SI2,NORTH,8518,63.3,57,7.27,7.2,4.58
AA278446,0.35,Ideal,G,VVS2,WEST,676,61.9,57,4.49,4.52,2.79
AA901493,0.3,Ideal,H,VVS1,EAST,665,62.2,55,4.3,4.32,2.68
AA341518,0.31,Ideal,F,VVS1,EAST,840,62.3,54,4.34,4.36,2.71
AA766625,0.3,Ideal,E,VVS1,EAST,826,59.5,60,4.36,4.38,2.6
AA463337,0.72,Good,F,I1,WEST,1166,63.6,58,5.72,5.62,3.6
AA411765,1.01,Very Good,F,SI1,SOUTH,4869,60.8,59,6.49,6.53,3.96
AA971025,0.32,Ideal,E,VS2,EAST,900,60.8,55,4.49,4.42,2.71
AA801425,2.5,Ideal,I,VS2,NORTH,16955,61.9,57,8.7,8.68,5.38
AA966686,1.05,Ideal,F,VVS2,NORTH,10011,60.5,55,6.67,6.58,4.01
AA110287,0.43,Ideal,D,SI2,EAST,919,61,57,4.86,4.81,2.95
AA401598,0.7,Good,I,SI1,EAST,2276,58.5,61,5.76,5.82,3.39
AA717701,0.53,Very Good,E,VS1,EAST,1776,63,56,5.13,5.16,3.24
AA62576,1.3,Good,J,SI1,EAST,5242,64,58,6.91,6.84,4.4
AA17355,0.54,Ideal,E,VS2,EAST,1847,60.8,57,5.29,5.24,3.2
AA303365,1.02,Ideal,E,IF,NORTH,12030,62.2,56,6.44,6.38,3.99
AA589281,0.34,Ideal,H,SI1,WEST,628,60.7,56,4.58,4.52,2.76
AA115194,0.31,Ideal,E,SI1,EAST,698,63,57,4.32,4.29,2.71
AA879687,0.24,Very Good,D,VVS2,WEST,552,62.4,58,3.94,4.01,2.48
AA6735,0.24,Very Good,G,VVS2,WEST,449,62,56,4,4.03,2.49
AA128954,0.41,Ideal,H,VVS1,EAST,945,61.5,55,4.79,4.81,2.95
AA440095,0.74,Fair,G,VVS2,EAST,2959,65.2,58,5.7,5.6,3.69
AA124361,0.33,Premium,I,VVS2,WEST,579,61,58,4.42,4.46,2.71
AA261592,0.57,Ideal,F,VVS2,EAST,2402,61.7,56,5.31,5.35,3.29
AA893925,1.52,Ideal,I,VS2,NORTH,9352,62.4,55,7.35,7.4,4.6
AA312741,1.55,Premium,I,SI1,NORTH,9027,62.5,60,7.35,7.33,4.59
AA552544,0.33,Premium,D,VS1,EAST,933,60.3,61,4.51,4.48,2.71
AA873556,0.35,Ideal,J,VS2,WEST,446,61.4,55,4.55,4.57,2.8
AA589621,0.5,Good,E,SI1,EAST,1090,64,56,5.03,4.97,3.2
AA30004,0.91,Premium,G,SI2,EAST,3376,60.4,61,6.28,6.21,3.77
AA666638,0.41,Premium,E,VS2,WEST,935,61.3,58,4.74,4.79,2.92
AA665961,0.54,Ideal,I,SI1,WEST,1057,61.9,54,5.25,5.28,3.26
AA443914,0.39,Very Good,J,VS1,WEST,790,63.5,58,4.64,4.59,2.93
AA493139,1.01,Good,G,VS1,NORTH,6407,59.2,63,6.5,6.48,3.84
AA319136,0.44,Premium,F,VS2,WEST,990,62.2,58,4.88,4.83,3.02
AA413527,2.16,Ideal,J,VS1,NORTH,18462,61.4,55,8.34,8.27,5.1
AA459815,0.5,Very Good,F,VVS1,SOUTH,2121,62.2,57,5.03,5.07,3.14
AA110316,2.01,Very Good,J,SI2,NORTH,11660,63.4,59,7.99,7.95,5.05
AA278540,0.96,Very Good,I,SI2,EAST,3286,62.7,58,6.2,6.24,3.9
AA78484,1.01,Premium,H,SI2,EAST,3733,60.8,59,6.51,6.46,3.94
AA456858,0.32,Very Good,F,VVS1,EAST,886,61.6,56,4.37,4.41,2.7
AA213638,0.55,Ideal,E,VS2,EAST,1667,61.8,57,5.27,5.34,3.28
AA729365,0.45,Premium,D,VVS1,EAST,1736,61.5,55,5.02,4.97,3.07
AA973804,1.51,Good,E,I1,EAST,5601,57.5,59,7.56,7.51,4.33
AA72157,1.51,Ideal,I,SI1,NORTH,8752,62.4,59,7.27,7.34,4.56
AA612442,0.32,Ideal,E,VVS1,EAST,917,60.5,57,4.44,4.48,2.7
AA589110,1.52,Premium,D,SI1,NORTH,12823,59.8,58,7.55,7.51,4.5
AA442879,1.01,Premium,G,VS1,NORTH,5632,59.3,59,6.49,6.52,3.86
AA31024,1.01,Ideal,D,VS2,NORTH,7127,59.8,56,6.52,6.49,3.89
AA57001,0.58,Ideal,G,IF,SOUTH,2508,60.9,57,5.39,5.46,3.3
AA756213,1.09,Premium,G,VS2,NORTH,7032,61,59,6.65,6.6,4.04
AA632517,0.63,Very Good,F,VS2,EAST,2032,63,56.2,5.38,5.48,3.42
AA500212,0.32,Ideal,F,VS1,EAST,900,61.9,56,4.4,4.36,2.71
AA540479,0.32,Ideal,G,VVS1,EAST,814,61.8,54,4.4,4.43,2.73
